league,season,game,team,player,is_home,position,formation_place,sub_in,sub_out,appearances,fouls_committed,fouls_suffered,own_goals,red_cards,sub_ins,yellow_cards,goals_conceded,shots_faced,goal_assists,offsides,shots_on_target,total_goals,total_shots,saves
GER-Bundesliga,2324,2023-11-12 Bayer Leverkusen-1. FC Union Berlin,Bayer Leverkusen,Lukas Hradecky,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-11-12 RB Leipzig-SC Freiburg,RB Leipzig,Janis Blaswich,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-11-12 RB Leipzig-SC Freiburg,SC Freiburg,Noah Atubolu,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-11-12 Werder Bremen-Eintracht Frankfurt,Eintracht Frankfurt,Kevin Trapp,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-11-12 Werder Bremen-Eintracht Frankfurt,Werder Bremen,Michael Zetterer,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-11-24 FC Cologne-Bayern Munich,Bayern Munich,Manuel Neuer,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-11-24 FC Cologne-Bayern Munich,FC Cologne,Marvin Schwäbe,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-11-25 1. FC Union Berlin-FC Augsburg,1. FC Union Berlin,Frederik Ronnow,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,,0.0,0.0,0.0,2.0
GER-Bundesliga,2324,2023-11-25 1. FC Union Berlin-FC Augsburg,FC Augsburg,Finn Dahmen,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,0.0,,0.0,0.0,0.0,4.0
GER-Bundesliga,2324,2023-11-25 Borussia Dortmund-Borussia Mönchengladbach,Borussia Dortmund,Gregor Kobel,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,,0.0,0.0,0.0,1.0
